country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
BJ,268012,2.91,3.06,2.3256,2.91,non-promoted
BJ,268013,4.36,4.59,3.4884,4.36,non-promoted
BJ,268014,5.70,6.00,4.5600,5.70,non-promoted
BJ,268015,9.20,9.70,7.3720,9.22,non-promoted
BJ,307013,5.22,4.76,3.6176,4.52,non-promoted
BJ,321233,4.77,4.94,3.9891,4.69,non-promoted
BJ,475982,0.76,0.80,0.7220,0.76,non-promoted
BJ,475871,0.95,1.00,0.7600,0.95,non-promoted
BJ,475875,19.16,20.00,19.0000,19.00,non-promoted
BJ,196680,12.75,13.67,10.3892,12.99,non-promoted
BJ,196681,13.52,14.40,11.2973,13.68,non-promoted
BJ,281498,1.02,1.04,0.7904,0.99,non-promoted
BJ,298801,1.96,2.03,1.6393,1.93,non-promoted
BJ,281499,1.07,1.11,0.8436,1.05,non-promoted
BJ,281500,1.31,1.37,1.0412,1.30,non-promoted
BJ,354883,0.94,1.00,0.8075,0.95,non-promoted
BJ,475991,1.01,1.05,0.7980,1.00,non-promoted
BJ,475994,1.37,1.50,1.1400,1.43,non-promoted
BJ,346667,2.87,3.00,2.2800,2.85,non-promoted
BJ,476936,1.82,1.90,1.4440,1.81,non-promoted
BJ,551042,5.46,5.64,4.2864,5.36,non-promoted
BJ,551043,2.71,2.85,2.1660,2.71,non-promoted
BJ,247831,12.88,13.67,10.3892,12.99,non-promoted
BJ,247832,14.05,14.40,12.9235,13.68,non-promoted
BJ,628074,1.42,1.52,1.1552,1.44,non-promoted
BJ,668290,2.50,2.50,1.9000,2.38,non-promoted
BJ,554510,7.40,7.97,6.0572,7.57,non-promoted
BJ,323487,2.28,2.40,1.8240,2.28,non-promoted
BJ,298682,1.30,1.37,1.0412,1.30,non-promoted
BJ,320343,2.91,3.07,2.3332,2.92,non-promoted
BJ,320344,5.20,5.38,4.0888,5.11,non-promoted
BJ,305481,5.86,6.05,4.5980,5.75,non-promoted
BJ,305479,1.39,1.45,1.1020,1.38,non-promoted
BJ,630791,7.22,7.45,5.6620,7.08,non-promoted
BJ,624625,2.31,2.39,2.2705,2.27,non-promoted
BJ,630763,5.83,5.95,5.6525,5.65,non-promoted
BJ,625765,3.66,3.89,3.3535,3.70,non-promoted
BJ,625767,3.40,3.60,3.1065,3.42,non-promoted
BJ,240939,5.04,5.31,4.0356,5.04,non-promoted
BJ,611732,2.51,2.64,2.0064,2.51,non-promoted
BJ,627331,0.93,0.99,0.7524,0.94,non-promoted
BJ,627329,0.85,0.90,0.6840,0.86,non-promoted
BJ,627332,0.93,0.99,0.7524,0.94,non-promoted
BJ,627328,0.85,0.90,0.6840,0.86,non-promoted
BJ,624480,0.87,0.93,0.7068,0.88,non-promoted
BJ,627314,0.93,0.99,0.7524,0.94,non-promoted
BJ,627327,0.85,0.90,0.6840,0.86,non-promoted
BJ,626997,0.92,0.99,0.7524,0.94,non-promoted
BJ,627326,0.85,0.90,0.6840,0.86,non-promoted
BJ,626630,1.00,1.05,0.9477,1.00,non-promoted
BJ,627330,0.83,0.86,0.6536,0.82,non-promoted
BJ,624479,0.89,0.94,0.8037,0.89,non-promoted
BJ,324267,1.25,1.30,0.9880,1.24,non-promoted
BJ,627160,1.80,1.95,1.4820,1.85,non-promoted
BJ,528888,2.42,2.54,1.9304,2.41,non-promoted
BJ,592593,2.28,2.30,1.7480,2.19,non-promoted
BJ,671538,2.27,1.74,1.3224,1.65,non-promoted
BJ,541078,3.56,3.73,2.8348,3.54,non-promoted
BJ,224938,2.57,2.70,2.0520,2.57,non-promoted
BJ,664047,2.72,3.18,2.4168,3.02,non-promoted
BJ,67933,53.93,57.17,43.4492,54.31,non-promoted
BJ,354890,1.73,1.80,1.5390,1.71,non-promoted
BJ,342280,1.75,1.84,1.3984,1.75,non-promoted
BJ,476956,4.32,4.55,3.4580,4.32,non-promoted
BJ,476963,6.50,6.25,4.7500,5.94,non-promoted
BJ,476955,1.76,1.85,1.4060,1.76,non-promoted
